"fpkm.long","genes","age"
7.59227180337546,"Sox13","P7"
14.3105123815918,"Snrpe","P7"
29.5853371185819,"Zc3h11a","P7"
10.6165912488066,"Zbed6","P7"
21.662581125691,"Atp2b4","P7"
0.78290334084927,"Optc","P7"
2.570472031808,"Prelp","P7"
2.63692551569878,"Fmod","P7"
51.6201470403159,"Btg2","P7"
6.78701788235252,"Chil1","P7"
0.0972966240637394,"Mybph","P7"
15.8287728307931,"Adora1","P7"
6.6492381007304,"Ppfia4","P7"
23.6113137099129,"Tmem183a","P7"
3.44445810834148,"Cyb5r1","P7"
26.3687469888876,"Adipor1","P7"
7.86223889329251,"Klhl12","P7"
14.181956348355,"Rabif","P7"
17.136017163961,"Kdm5b","P7"
0.120329290890136,"Syt2","P7"
4.23181308530242,"Ppp1r12b","P7"
5.33022637081432,"Ube2t","P7"
8.80638374994989,"Lgr6","P7"
0.0274301553015116,"Ptprv","P7"
0.095254491760436,"Ptpn7","P7"
150.868950482755,"Arl8a","P7"
197.652603892127,"Gpr37l1","P7"
19.6138249407611,"Rnpep","P7"
15.3663913194029,"Timm17a","P7"
0.453861057175692,"Lmod1","P7"
67.7868397242439,"Shisa4","P7"
26.5845818005281,"Ipo9","P7"
36.3976018926556,"Nav1","P7"
116.443931260237,"Csrp1","P7"
5.77990613496655,"Phlda3","P7"
0,"Tnni1","P7"
0.221631151984643,"Lad1","P7"
0.131283974334947,"Tnnt2","P7"
0.00970903205288071,"Pkp1","P7"
0.00915655684567236,"Igfn1","P7"
32.1553448850517,"Tmem9","P7"
0.0380797334989559,"Cacna1s","P7"
37.5885337307187,"Kif21b","P7"
3.52596129965773,"5730559C18Rik","P7"
1.25384899709852,"Gpr25","P7"
20.5589585678691,"Camsap2","P7"
0.445805637002746,"9230116N13Rik","P7"
5.92479970665948,"Ddx59","P7"
1.88032058906696,"Kif14","P7"
8.89344695177229,"Zfp281","P7"
0.582448800313819,"Gm19705","P7"
0.888259168681381,"Ptprc","P7"
12.7262402046125,"Nek7","P7"
5.00353905335251,"2310009B15Rik","P7"
2.91987964331768,"Dennd1b","P7"
0.636498283414036,"Crb1","P7"
10.2383967538254,"Zbtb41","P7"
5.19233475858631,"Aspm","P7"
0.207456112859533,"Gm4788","P7"
0.296999539742812,"Cfhr2","P7"
6.13277265058782,"Cfh","P7"
0.760923488089481,"Kcnt2","P7"
11.1512256580896,"Cdc73","P7"
2.48539107048009,"B3galt2","P7"
14.0046424782753,"Glrx2","P7"
12.9660338910105,"Trove2","P7"
9.19817406048896,"Uchl5","P7"
5.73467034643383,"Rgs2","P7"
0.308610379475554,"Rgs13","P7"
1.21466640738626,"Rgs1","P7"
6.64169532331597,"Brinp3","P7"
1.3364815078795,"Pla2g4a","P7"
0.600608407525508,"Ptgs2","P7"
12.4933906517143,"BC003331","P7"
21.8446903843004,"Tpr","P7"
0.208212947657345,"Prg4","P7"
1.91568261269711,"Hmcn1","P7"
43.0113683831798,"Ivns1abp","P7"
3.44559929133241,"Swt1","P7"
9.54061448548807,"Trmt1l","P7"
19.0712015906308,"Rnf2","P7"
2.90535676211488,"Fam129a","P7"
12.966069168072,"Edem3","P7"
10.2077626950134,"1700025G04Rik","P7"
6.70640831293985,"Tsen15","P7"
23.4775785495708,"Colgalt2","P7"
16.9991082109033,"Rgl1","P7"
57.8017046742845,"Arpc5","P7"
0.57209489381654,"Ncf2","P7"
16.7678072718171,"Smg7","P7"
16.1446201214188,"Nmnat2","P7"
0.137589912210042,"Lamc2","P7"
30.1750580862214,"Lamc1","P7"
0.0773440039246843,"E330020D12Rik","P7"
0.30945385970307,"Shcbp1l","P7"
49.7434521297482,"Dhx9","P7"
11.679749461709,"Npl","P7"
2.78343775900427,"Rgs8","P7"
7.56525608749785,"Rgs16","P7"
7.01276443565975,"Rnasel","P7"
0.136332540984795,"Rgsl1","P7"
0.124700987343638,"Teddm2","P7"
864.906687161976,"Glul","P7"
0.265252511525893,"Zfp648","P7"
3.00967385732702,"Cacna1e","P7"
9.85993997740651,"Ier5","P7"
5.18956647539188,"Mr1","P7"
22.8862742091184,"Stx6","P7"
26.9365992084323,"Xpr1","P7"
16.0042947010695,"Acbd6","P7"
13.8443392615149,"Qsox1","P7"
7.06432773820559,"Cep350","P7"
18.6112243984803,"Tor1aip1","P7"
15.2326661899234,"Tor1aip2","P7"
9.97845510599338,"Fam163a","P7"
0.0505174108195437,"Tdrd5","P7"
0.181470248774881,"Nphs2","P7"
21.8405600580395,"Soat1","P7"
7.97802788767219,"Abl2","P7"
4.85716621332858,"Tor3a","P7"
19.9323403770214,"Fam20b","P7"
9.08487095939502,"Ralgps2","P7"
1.52271972606037,"Angptl1","P7"
7.49822836643871,"Rasal2","P7"
12.8423008943265,"2810025M15Rik","P7"
10.381121989624,"BC026585","P7"
0.371410891057207,"Sec16b","P7"
13.6861776859983,"Brinp2","P7"
59.4174521991638,"Astn1","P7"
0.161929951066731,"Pappa2","P7"
4.56443098565056,"Rfwd2","P7"
15.1915870369602,"Tnr","P7"
1.53897538200096,"4930523C07Rik","P7"
0.0599884819033056,"Tnn","P7"
7.38075250201639,"Mrps14","P7"
19.7566737247244,"Cacybp","P7"
6.46641570007835,"Rabgap1l","P7"
0.231887886752288,"Gpr52","P7"
6.4723064591041,"Rc3h1","P7"
0.154152553410767,"Serpinc1","P7"
3.1823081484866,"Zbtb37","P7"
36.3362730211953,"Gas5","P7"
11.8727798212963,"Snord47","P7"
4.94537438303979,"Dars2","P7"
3.60687700812729,"Cenpl","P7"
7.89093259000189,"Klhl20","P7"
4.87815985418258,"Ankrd45","P7"
0.199371409601675,"4930469G21Rik","P7"
90.3112817233891,"Prdx6","P7"
0.706048085551306,"Tnfsf18","P7"
11.8243837985234,"Suco","P7"
7.34171942027182,"Pigc","P7"
4.73010141150442,"Dnm3","P7"
0.604255511514744,"2810442N19Rik","P7"
0.225162326015329,"Dnm3os","P7"
4.55853300741738,"Mettl13","P7"
18.1284394870588,"Vamp4","P7"
2.4446275278803,"Myoc","P7"
28.437364325133,"Prrc2c","P7"
0.565708302171254,"Fmo4","P7"
52.8218122782353,"Fmo1","P7"
0.0594044826023615,"Fmo2","P7"
9.5283404763563,"Prrx1","P7"
5.27265598281093,"Gorab","P7"
0.701496996556735,"Mettl11b","P7"
31.7835870397452,"Kifap3","P7"
5.75866095507625,"Scyl3","P7"
2.17628892532976,"BC055324","P7"
1.83954614780351,"Mettl18","P7"
0.0268658376397187,"Sell","P7"
0.0888831865002852,"F5","P7"
