X,P7FPKM,P14FPKM,P21FPKM,P150FPKM
Dnaaf2,3.20357189736167,1.53288713325844,1.50108252706082,1.31911611975594
9330151L19Rik,4.624362483149,5.77870899222825,6.34397359932226,6.31735433917462
Pole2,3.2062203262477,0.542210735763472,0.425055093086463,0.441713551044451
Klhdc1,2.6879844247975,4.1175912064968,5.11682499279503,5.40516902410478
Klhdc2,44.4422800157295,36.4544780487467,38.0723217098178,34.2102672201835
Nemf,16.689888793648,15.0201769267879,16.8685225151591,25.274948727913
Arf6,20.7726885533363,17.4448879173549,15.5096766266272,11.8386610138343
Vcpkmt,7.67921941648303,8.58472275580671,12.9939835870164,15.2964364554282
Sos2,9.39037671424159,8.9903315320564,8.79112554740744,9.11036745283114
L2hgdh,5.62238212863513,4.72453119885017,4.79286890245103,5.22490040878004
Atp5s,5.60489098753471,6.79340701088786,8.13098571613506,9.29042856819625
Cdkl1,2.03284955057151,3.74273418774897,3.67973390142209,4.09800661062554
4930512B01Rik,0.516856784370449,0.669904997826956,0.645923237453335,0.938668892444715
Map4k5,16.2335889640665,12.6063559365332,10.1941458498645,11.9509063999972
4931403G20Rik,0.417529401512212,0.330218877247174,0.19944726084347,0.402366438580252
Atl1,6.54765806711832,8.46055787470569,8.1174161784908,7.07319540585204
Gm3086,0.641058718858973,0.587859566320544,0.581936517428526,1.26766303575712
Sav1,16.9608027488493,11.9561171996368,10.7967625945204,9.87225147284229
Nin,6.76697688701206,4.85868629332742,3.65337642139167,3.67227910943969
Pygl,3.27114536123319,1.58691100400911,1.62847987455333,1.64080901519608
Trim9,137.671347084166,111.292414160683,87.4556886676148,64.3314772513421
Tmx1,32.4172807267519,16.4752313624559,15.0178829484609,16.2476782026464
Frmd6,4.04182431435781,5.0494338115322,4.39004001361612,5.98154456692625
Actr10,22.0956426008607,19.5604312110788,20.022600691425,18.106744422239
Psma3,8.98529809532939,8.15953689677826,8.48638661565242,10.6374593358341
3110056K07Rik,3.874550466138,3.81626637994512,4.60103517396195,7.96629896196985
Arid4a,9.46184181651403,10.7957411808549,14.8458958246991,22.5038466362546
Timm9,18.2506050027601,17.8590183879207,15.2643996084728,17.6977699164354
2700049A03Rik,3.2989544047436,1.73948164331613,1.4919740709108,1.59852446455503
Dact1,3.8053500531726,2.71455305798389,2.16044128888225,0.975875721220019
Daam1,25.426645625921,22.1001519873304,19.3572917073467,20.5788552122401
Gpr135,2.31564051325596,2.48362784306202,2.12103358028583,1.84185384868789
L3hypdh,6.20491509684575,4.53744623751083,3.65268711062831,4.22118208545466
Jkamp,22.7883653174461,20.6536039159324,21.6504336305611,27.0351497514408
Rtn1,112.666311410197,106.25961217417,144.650458879201,184.426331654181
Lrrc9,1.21173035542802,0.747106698324668,0.957356042106487,1.41371832708979
Pcnxl4,6.65442066756336,5.2999394261752,5.25688263946881,4.92606717489125
Dhrs7,24.4368995125977,32.4508204818528,37.1724982378699,43.2418412876868
Ppm1a,31.3800780761963,35.4365102893352,47.0328824079327,44.538942536806
4930447C04Rik,0.0456070343342648,0.226806913508169,0.382281942837807,0.815215032426629
Six1,0.151214857281137,0.272818643630084,0.197994555844608,0.13044472873685
Six4,0.159612558883867,0.0876685964537242,0.0790844954802881,0.0955709912898753
Mnat1,6.26334119016486,4.86945785947864,4.70434081782937,5.73835378280653
Trmt5,4.07411564418808,3.32404383565053,3.07500693826722,3.70582770917968
Slc38a6,2.13690298227827,2.18322509234108,1.46355579121931,2.16397264774447
Prkch,2.50149090725157,3.35166111303843,2.4497322957093,1.61899953492034
Hif1a,29.3376133907154,22.2904548309514,15.3963684580461,13.0200029450846
Snapc1,6.92686748880895,5.33630761310888,5.12035886467608,7.09843859575019
Syt16,10.1832747425805,27.9390981514663,41.9926971102861,24.4839702669601
1700086L19Rik,7.45536767643697,12.698234560809,8.69793032559646,4.61876801346771
Dbpht2,7.47370679365457,18.5181627295468,17.7478295970147,22.0902023499522
Kcnh5,1.85505332454721,2.09785844480314,1.71794477535841,1.64934498324695
Rhoj,11.4888120903361,10.9097102087197,5.89650153559975,3.40779272022987
Ppp2r5e,16.8183693270262,14.3070204617859,14.0295453221834,12.8131817801906
Wdr89,0.923732196747016,0.673924762992335,0.67802248454116,0.66469139555303
Sgpp1,11.0461630258096,9.91408352013579,9.59140095578628,10.5170755229059
Syne2,4.8644546437893,2.09623266156875,1.4851090026467,2.08916253780934
Mthfd1,32.1983141536285,22.0357191496699,18.2852136479185,17.4622522369534
Akap5,4.98173395244616,22.3089559709526,58.3870694990391,73.0985207776565
Zbtb25,7.57443149473195,4.74018079325308,4.50756020753875,3.9682296301983
